C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:73: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:76: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.8718, 0.8985, 0.9483,  ..., 0.9753, 0.9959, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5098387002944946 accuracy: 0.9424618000979155
(2688, 128)
lenth 2688
pot 537
C:\Users\juneli\Anaconda\envs\pytorch\lib\site-packages\torch\nn\modules\conv.py:440: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at  ..\aten\src\ATen\native\Convolution.cpp:660.)
  self.padding, self.dilation, self.groups)
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  83 |loss:  0.5508270859718323 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  84 |loss:  0.6306284070014954 | accuracy_train:  0.5631067961165048 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  85 |loss:  0.6028637290000916 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  86 |loss:  0.6261904835700989 | accuracy_train:  0.5631067961165048 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  87 |loss:  0.5712419748306274 | accuracy_train:  0.5242718446601942 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  88 |loss:  0.4983706474304199 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  89 |loss:  0.600223183631897 | accuracy_train:  0.4563106796116505 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  90 |loss:  0.6003704071044922 | accuracy_train:  0.5339805825242718 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  91 |loss:  0.6121832132339478 | accuracy_train:  0.5339805825242718 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  92 |loss:  0.5235656499862671 | accuracy_train:  0.5533980582524272 | accuracy_test:  0.5065176908752328
