C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:72: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:75: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.9499, 0.9660, 0.9875,  ..., 0.9915, 0.9993, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5053110718727112 accuracy: 0.97219717075936
lenth 5693
pot 1138
Epoch GAE :  0 | cross validation:  0 | Epoch:  73 |loss:  0.28642991185188293 | accuracy_train:  0.8 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  74 |loss:  0.3013764023780823 | accuracy_train:  0.7066666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  75 |loss:  0.23561683297157288 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  76 |loss:  0.2987419068813324 | accuracy_train:  0.8133333333333334 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  77 |loss:  0.21809303760528564 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  78 |loss:  0.3327454924583435 | accuracy_train:  0.6933333333333334 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  79 |loss:  0.28751757740974426 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  80 |loss:  0.29937905073165894 | accuracy_train:  0.76 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  81 |loss:  0.2720951735973358 | accuracy_train:  0.72 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  82 |loss:  0.30187293887138367 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  83 |loss:  0.22516454756259918 | accuracy_train:  0.7866666666666666 | accuracy_test:  0.7618629173989455
